2009-08-13|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -10.3 |CHG/ATR nan |B/CHG -0.75 |B/ATR nan |V/LONG 0.3 |V/SHORT 1.3 |V/PREV inf |O 3.8 |H 3.8 |L 3.5 |C 3.5 |V 10 Thousand
2009-08-14|RED|H/Body 6.00 |T/Body 0.00 |CHG_PCT -10.0 |CHG/ATR nan |B/CHG -0.14 |B/ATR nan |V/LONG 0.2 |V/SHORT 1.1 |V/PREV 0.5 |O 3.2 |H 3.5 |L 3.1 |C 3.1 |V 5 Thousand
2009-08-17|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 1.9 |CHG/ATR nan |B/CHG 0.83 |B/ATR nan |V/LONG 0.0 |V/SHORT 0.1 |V/PREV 0.1 |O 3.2 |H 3.2 |L 3.2 |C 3.2 |V 300
2009-08-18|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 10.3 |CHG/ATR nan |B/CHG 0.03 |B/ATR nan |V/LONG 0.0 |V/SHORT 0.3 |V/PREV 3.3 |O 3.5 |H 3.5 |L 3.5 |C 3.5 |V 1 Thousand
2009-08-19|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 3.5 |H 3.5 |L 3.5 |C 3.5 |V 0
2009-08-20|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 12.7 |CHG/ATR nan |B/CHG 0.02 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.5 |V/PREV inf |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 2 Thousand
2009-08-21|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2009-08-24|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2009-08-25|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -17.5 |CHG/ATR nan |B/CHG -0.09 |B/ATR nan |V/LONG 0.1 |V/SHORT 4.0 |V/PREV inf |O 3.4 |H 3.4 |L 3.3 |C 3.3 |V 2 Thousand
2009-08-26|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 18.5 |CHG/ATR nan |B/CHG 1.02 |B/ATR nan |V/LONG 0.4 |V/SHORT 12.0 |V/PREV 4.2 |O 3.3 |H 3.9 |L 3.3 |C 3.9 |V 8 Thousand
2009-08-27|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 3.9 |H 3.9 |L 3.9 |C 3.9 |V 0
2009-08-28|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT -0.5 |CHG/ATR nan |B/CHG -6.50 |B/ATR nan |V/LONG 0.5 |V/SHORT 4.7 |V/PREV inf |O 3.8 |H 3.9 |L 3.8 |C 3.9 |V 10 Thousand
2009-08-31|NIU|H/Body 0.33 |T/Body 0.00 |CHG_PCT 4.4 |CHG/ATR nan |B/CHG 0.88 |B/ATR nan |V/LONG 1.2 |V/SHORT 5.8 |V/PREV 2.4 |O 3.9 |H 4.1 |L 3.9 |C 4.0 |V 23 Thousand
2009-09-01|RED|H/Body 0.00 |T/Body 14.00 |CHG_PCT -1.2 |CHG/ATR nan |B/CHG -0.20 |B/ATR nan |V/LONG 0.4 |V/SHORT 1.0 |V/PREV 0.4 |O 4.0 |H 4.0 |L 3.9 |C 4.0 |V 9 Thousand
2009-09-02|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -10.0 |CHG/ATR nan |B/CHG -0.98 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.3 |V/PREV 0.4 |O 4.0 |H 4.0 |L 3.6 |C 3.6 |V 3 Thousand
2009-09-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 8.3 |CHG/ATR nan |B/CHG 0.03 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.3 |V/PREV 0.7 |O 3.9 |H 3.9 |L 3.9 |C 3.9 |V 2 Thousand
2009-09-04|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 1.0 |CHG/ATR nan |B/CHG 0.25 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.6 |V/PREV 2.2 |O 3.9 |H 3.9 |L 3.9 |C 3.9 |V 6 Thousand
2009-09-08|NIU|H/Body 0.33 |T/Body 2.00 |CHG_PCT 2.8 |CHG/ATR nan |B/CHG 1.36 |B/ATR nan |V/LONG 0.5 |V/SHORT 1.0 |V/PREV 1.6 |O 3.9 |H 4.1 |L 3.6 |C 4.0 |V 9 Thousand
2009-09-09|NIU|H/Body 0.00 |T/Body 0.20 |CHG_PCT -1.2 |CHG/ATR nan |B/CHG -5.00 |B/ATR nan |V/LONG 1.0 |V/SHORT 3.0 |V/PREV 2.0 |O 3.8 |H 4.0 |L 3.7 |C 4.0 |V 18 Thousand
2009-09-10|NIU|H/Body 0.00 |T/Body 5.00 |CHG_PCT 0.5 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 3.2 |V/SHORT 7.4 |V/PREV 3.2 |O 4.0 |H 4.0 |L 3.9 |C 4.0 |V 56 Thousand
2009-09-11|NIU|H/Body 0.20 |T/Body 0.50 |CHG_PCT 3.2 |CHG/ATR nan |B/CHG 0.77 |B/ATR nan |V/LONG 5.4 |V/SHORT 5.7 |V/PREV 1.8 |O 4.0 |H 4.2 |L 4.0 |C 4.2 |V 102 Thousand
