2013-04-10 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.1
2013-04-11 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.2
2013-04-12 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.3
2013-04-15 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.3
2013-04-16 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.4
2013-04-17 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.5
2013-04-18 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.6
2013-04-19 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.7
2013-04-22 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.8
2013-04-23 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.9
2013-04-24 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.0
2013-04-25 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.1
2013-04-26 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.2
2013-04-29 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.4
2013-04-30 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.8
2013-05-01 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.4
2013-05-02 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.0
2013-05-03 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.7
2013-05-06 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-05-07 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-05-08 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-05-09 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-05-10 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-05-13 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-05-14 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2013-05-15 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-05-16 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-05-17 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-05-20 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-05-21 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-05-22 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-05-23 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-05-24 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2013-05-28 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2013-05-29 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2013-05-30 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-05-31 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-06-03 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-06-04 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-06-05 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-06-06 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-07 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-10 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-11 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-12 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-13 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-14 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-17 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-18 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-19 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-20 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-21 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-24 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-25 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-26 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.8
2013-06-27 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-06-28 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-07-01 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-07-02 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-07-03 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-07-05 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-07-08 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 2.9
2013-07-09 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2013-07-10 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2013-07-11 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2013-07-12 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2013-07-15 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.0
2013-07-16 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-07-17 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-07-18 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-07-19 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.1
2013-07-22 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-07-23 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-07-24 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-07-25 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.2
2013-07-26 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-07-29 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-07-30 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.3
2013-07-31 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-08-01 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-08-02 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2013-08-05 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2013-08-06 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2013-08-07 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2013-08-08 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-08-09 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-08-12 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-08-13 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-08-14 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-08-15 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-08-16 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-08-19 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-08-20 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-08-21 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-08-22 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-08-23 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-08-26 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-08-27 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-28 | Bull | 0.51 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-29 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-08-30 | Bull | 0.71 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
