2013-08-21|NIU|H/Body 0.68 |T/Body 0.30 |CHG_PCT 1.4 |CHG/ATR nan |B/CHG 1.36 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.4 |V/PREV 0.6 |O 29.8 |H 30.7 |L 29.6 |C 30.3 |V 122 Thousand
2013-08-22|NIU|H/Body 0.23 |T/Body 0.00 |CHG_PCT 7.1 |CHG/ATR nan |B/CHG 1.01 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.3 |V/PREV 2.3 |O 30.3 |H 33.0 |L 30.3 |C 32.5 |V 277 Thousand
2013-08-23|NIU|H/Body 0.64 |T/Body 0.00 |CHG_PCT 4.4 |CHG/ATR nan |B/CHG 0.86 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.3 |V/PREV 1.0 |O 32.7 |H 34.7 |L 32.7 |C 33.9 |V 289 Thousand
2013-08-26|NIU|H/Body 0.25 |T/Body 0.00 |CHG_PCT 4.3 |CHG/ATR nan |B/CHG 0.91 |B/ATR nan |V/LONG 0.8 |V/SHORT 0.9 |V/PREV 0.7 |O 34.0 |H 35.7 |L 34.0 |C 35.4 |V 208 Thousand
2013-08-27|RED|H/Body 0.22 |T/Body 0.12 |CHG_PCT -6.9 |CHG/ATR nan |B/CHG -0.49 |B/ATR nan |V/LONG 0.9 |V/SHORT 1.1 |V/PREV 1.2 |O 34.1 |H 34.4 |L 32.8 |C 32.9 |V 246 Thousand
2013-08-28|RED|H/Body 16.00 |T/Body 22.75 |CHG_PCT 0.1 |CHG/ATR nan |B/CHG 1.33 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.5 |V/PREV 0.5 |O 33.0 |H 33.6 |L 32.0 |C 33.0 |V 123 Thousand
2013-08-29|RED|H/Body 0.12 |T/Body 0.01 |CHG_PCT -2.7 |CHG/ATR nan |B/CHG -0.91 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.6 |V/PREV 1.1 |O 32.9 |H 33.0 |L 32.1 |C 32.1 |V 132 Thousand
2013-08-30|RED|H/Body 0.21 |T/Body 0.33 |CHG_PCT -4.5 |CHG/ATR nan |B/CHG -0.95 |B/ATR nan |V/LONG 1.2 |V/SHORT 1.5 |V/PREV 2.3 |O 32.0 |H 32.3 |L 30.2 |C 30.6 |V 304 Thousand
2013-09-03|RED|H/Body 1.88 |T/Body 1.14 |CHG_PCT 1.2 |CHG/ATR nan |B/CHG 0.57 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.6 |V/PREV 0.4 |O 31.2 |H 31.6 |L 30.8 |C 31.0 |V 118 Thousand
2013-09-04|NIU|H/Body 1.42 |T/Body 0.26 |CHG_PCT 1.6 |CHG/ATR nan |B/CHG 0.86 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.1 |V/PREV 1.7 |O 31.1 |H 32.1 |L 30.9 |C 31.5 |V 204 Thousand
2013-09-05|RED|H/Body 1.99 |T/Body 4.33 |CHG_PCT -0.3 |CHG/ATR nan |B/CHG -1.33 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.5 |V/PREV 0.5 |O 31.5 |H 31.8 |L 30.9 |C 31.4 |V 95 Thousand
2013-09-06|RED|H/Body 0.00 |T/Body 0.09 |CHG_PCT -2.1 |CHG/ATR nan |B/CHG -1.24 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.7 |V/PREV 1.3 |O 31.6 |H 31.6 |L 30.7 |C 30.7 |V 121 Thousand
2013-09-09|NIU|H/Body 0.39 |T/Body 0.06 |CHG_PCT 6.4 |CHG/ATR nan |B/CHG 0.73 |B/ATR nan |V/LONG 1.2 |V/SHORT 1.7 |V/PREV 2.4 |O 31.3 |H 33.3 |L 31.2 |C 32.7 |V 290 Thousand
2013-09-10|NIU|H/Body 0.16 |T/Body 1.33 |CHG_PCT 2.8 |CHG/ATR nan |B/CHG 0.61 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.8 |V/PREV 0.5 |O 33.1 |H 33.7 |L 32.3 |C 33.6 |V 134 Thousand
2013-09-11|NIU|H/Body 0.12 |T/Body 0.37 |CHG_PCT 4.2 |CHG/ATR nan |B/CHG 1.11 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.9 |V/PREV 1.1 |O 33.5 |H 35.2 |L 32.9 |C 35.0 |V 148 Thousand
2013-09-12|RED|H/Body 3.04 |T/Body 6.11 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -0.95 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.8 |V/PREV 0.8 |O 35.0 |H 35.6 |L 33.7 |C 34.8 |V 119 Thousand
2013-09-13|RED|H/Body 3.17 |T/Body 20.00 |CHG_PCT -0.5 |CHG/ATR nan |B/CHG -0.35 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.6 |V/PREV 0.9 |O 34.7 |H 34.9 |L 33.5 |C 34.6 |V 104 Thousand
2013-09-16|RED|H/Body 0.24 |T/Body 1.22 |CHG_PCT -1.0 |CHG/ATR nan |B/CHG -2.82 |B/ATR nan |V/LONG 0.7 |V/SHORT 1.0 |V/PREV 1.5 |O 35.2 |H 35.5 |L 33.2 |C 34.3 |V 156 Thousand
2013-09-17|RED|H/Body 1.11 |T/Body 1.83 |CHG_PCT -1.0 |CHG/ATR nan |B/CHG -0.64 |B/ATR nan |V/LONG 0.6 |V/SHORT 1.0 |V/PREV 0.9 |O 34.2 |H 34.4 |L 33.5 |C 34.0 |V 136 Thousand
2013-09-18|NIU|H/Body 3.71 |T/Body 7.43 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG 7.00 |B/ATR nan |V/LONG 0.7 |V/SHORT 1.1 |V/PREV 1.1 |O 33.9 |H 34.2 |L 33.4 |C 34.0 |V 145 Thousand
2013-09-19|RED|H/Body 1.13 |T/Body 0.61 |CHG_PCT -1.5 |CHG/ATR nan |B/CHG -1.06 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.6 |V/PREV 1.4 |O 34.0 |H 34.6 |L 33.1 |C 33.5 |V 210 Thousand
2013-09-20|RED|H/Body 0.45 |T/Body 0.55 |CHG_PCT -1.5 |CHG/ATR nan |B/CHG -1.08 |B/ATR nan |V/LONG 1.8 |V/SHORT 2.6 |V/PREV 1.8 |O 33.5 |H 33.7 |L 32.7 |C 33.0 |V 386 Thousand
2013-09-23|RED|H/Body 4.07 |T/Body 4.27 |CHG_PCT -0.3 |CHG/ATR nan |B/CHG -1.67 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.8 |V/PREV 0.4 |O 33.0 |H 33.6 |L 32.2 |C 32.9 |V 159 Thousand
2013-09-24|NIU|H/Body 0.33 |T/Body 0.00 |CHG_PCT 8.0 |CHG/ATR nan |B/CHG 0.95 |B/ATR nan |V/LONG 1.3 |V/SHORT 1.4 |V/PREV 1.9 |O 33.0 |H 36.3 |L 33.0 |C 35.5 |V 298 Thousand
2013-09-25|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 12.3 |CHG/ATR nan |B/CHG 1.01 |B/ATR nan |V/LONG 2.4 |V/SHORT 2.2 |V/PREV 1.8 |O 35.5 |H 39.9 |L 35.5 |C 39.9 |V 535 Thousand
2013-09-26|RED|H/Body 0.46 |T/Body 0.05 |CHG_PCT -6.6 |CHG/ATR nan |B/CHG -1.04 |B/ATR nan |V/LONG 2.1 |V/SHORT 1.6 |V/PREV 0.9 |O 40.0 |H 41.2 |L 37.1 |C 37.3 |V 508 Thousand
2013-09-27|RED|H/Body 32.75 |T/Body 13.50 |CHG_PCT -0.1 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG 0.8 |V/SHORT 0.5 |V/PREV 0.4 |O 37.3 |H 38.6 |L 36.7 |C 37.2 |V 196 Thousand
2013-09-30|RED|H/Body 40.00 |T/Body 83.00 |CHG_PCT -1.6 |CHG/ATR nan |B/CHG -0.02 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.5 |V/PREV 0.9 |O 36.6 |H 37.0 |L 35.8 |C 36.6 |V 170 Thousand
2013-10-01|NIU|H/Body 1.16 |T/Body 0.00 |CHG_PCT 1.9 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.3 |V/PREV 0.7 |O 36.6 |H 38.1 |L 36.6 |C 37.3 |V 117 Thousand
2013-10-02|NIU|H/Body 3.56 |T/Body 10.56 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -0.38 |B/ATR nan |V/LONG 0.9 |V/SHORT 0.7 |V/PREV 1.7 |O 37.0 |H 37.4 |L 36.0 |C 37.1 |V 205 Thousand
2013-10-03|RED|H/Body 1.08 |T/Body 0.73 |CHG_PCT -1.9 |CHG/ATR nan |B/CHG -0.68 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.6 |V/PREV 0.7 |O 36.9 |H 37.4 |L 36.0 |C 36.4 |V 140 Thousand
2013-10-04|NIU|H/Body 0.95 |T/Body 0.00 |CHG_PCT 1.5 |CHG/ATR nan |B/CHG 0.79 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.6 |V/PREV 0.7 |O 36.5 |H 37.3 |L 36.5 |C 36.9 |V 91 Thousand
2013-10-07|RED|H/Body 0.28 |T/Body 0.25 |CHG_PCT -2.1 |CHG/ATR nan |B/CHG -0.47 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.4 |V/PREV 0.7 |O 36.5 |H 36.6 |L 36.0 |C 36.1 |V 62 Thousand
2013-10-08|RED|H/Body 0.12 |T/Body 0.25 |CHG_PCT -8.1 |CHG/ATR nan |B/CHG -0.97 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.8 |V/PREV 3.7 |O 36.1 |H 36.4 |L 32.5 |C 33.2 |V 226 Thousand
2013-10-09|NIU|H/Body 3.67 |T/Body 8.50 |CHG_PCT -0.5 |CHG/ATR nan |B/CHG -0.71 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.2 |V/PREV 0.8 |O 32.9 |H 33.5 |L 31.9 |C 33.0 |V 170 Thousand
2013-10-10|NIU|H/Body 0.38 |T/Body 0.33 |CHG_PCT 5.5 |CHG/ATR nan |B/CHG 0.61 |B/ATR nan |V/LONG 0.6 |V/SHORT 1.0 |V/PREV 0.8 |O 33.8 |H 35.3 |L 33.4 |C 34.9 |V 137 Thousand
