2003-01-31|NIU|H/Body 0.93 |T/Body 0.01 |CHG_PCT 3.5 |CHG/ATR nan |B/CHG 1.37 |B/ATR nan |V/LONG 2.0 |V/SHORT 3.5 |V/PREV 1.4 |O 21.0 |H 23.0 |L 21.0 |C 22.0 |V 242 Thousand
2003-02-03|NIU|H/Body 0.04 |T/Body 2.08 |CHG_PCT 2.0 |CHG/ATR nan |B/CHG 0.53 |B/ATR nan |V/LONG 1.4 |V/SHORT 1.5 |V/PREV 0.7 |O 22.2 |H 22.5 |L 21.8 |C 22.5 |V 171 Thousand
2003-02-04|RED|H/Body 0.00 |T/Body 0.27 |CHG_PCT -2.3 |CHG/ATR nan |B/CHG -1.02 |B/ATR nan |V/LONG 2.2 |V/SHORT 2.0 |V/PREV 1.6 |O 22.5 |H 22.5 |L 21.8 |C 22.0 |V 274 Thousand
2003-02-05|NIU|H/Body 0.08 |T/Body 0.48 |CHG_PCT 1.7 |CHG/ATR nan |B/CHG 0.68 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.4 |V/PREV 0.3 |O 22.1 |H 22.4 |L 22.0 |C 22.4 |V 73 Thousand
2003-02-06|NIU|H/Body 1.95 |T/Body 0.89 |CHG_PCT 2.4 |CHG/ATR nan |B/CHG 0.72 |B/ATR nan |V/LONG 1.1 |V/SHORT 0.8 |V/PREV 2.0 |O 22.5 |H 23.6 |L 22.2 |C 22.9 |V 145 Thousand
2003-02-07|RED|H/Body 0.05 |T/Body 0.29 |CHG_PCT -7.6 |CHG/ATR nan |B/CHG -1.07 |B/ATR nan |V/LONG 1.2 |V/SHORT 0.9 |V/PREV 1.1 |O 23.0 |H 23.1 |L 20.6 |C 21.1 |V 158 Thousand
2003-02-10|NIU|H/Body 0.26 |T/Body 0.61 |CHG_PCT 6.4 |CHG/ATR nan |B/CHG 0.93 |B/ATR nan |V/LONG 1.0 |V/SHORT 0.8 |V/PREV 0.8 |O 21.2 |H 22.8 |L 20.5 |C 22.5 |V 128 Thousand
2003-02-11|NIU|H/Body 1.06 |T/Body 0.00 |CHG_PCT 6.5 |CHG/ATR nan |B/CHG 0.66 |B/ATR nan |V/LONG 2.5 |V/SHORT 2.1 |V/PREV 2.6 |O 23.0 |H 25.0 |L 23.0 |C 24.0 |V 328 Thousand
2003-02-12|RED|H/Body 0.05 |T/Body 0.12 |CHG_PCT -3.6 |CHG/ATR nan |B/CHG -1.09 |B/ATR nan |V/LONG 1.5 |V/SHORT 1.3 |V/PREV 0.6 |O 24.1 |H 24.1 |L 23.0 |C 23.1 |V 209 Thousand
2003-02-13|NIU|H/Body 1.82 |T/Body 7.59 |CHG_PCT -0.4 |CHG/ATR nan |B/CHG -1.89 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.5 |V/PREV 0.5 |O 22.9 |H 23.3 |L 21.6 |C 23.0 |V 102 Thousand
2003-02-14|NIU|H/Body 0.57 |T/Body 0.63 |CHG_PCT 1.6 |CHG/ATR nan |B/CHG 0.95 |B/ATR nan |V/LONG 1.9 |V/SHORT 1.5 |V/PREV 2.6 |O 23.0 |H 23.6 |L 22.8 |C 23.4 |V 269 Thousand
2003-02-18|NIU|H/Body 0.17 |T/Body 0.77 |CHG_PCT 5.6 |CHG/ATR nan |B/CHG 0.84 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.4 |V/PREV 0.3 |O 23.6 |H 24.9 |L 22.8 |C 24.7 |V 76 Thousand
2003-02-19|RED|H/Body 11.00 |T/Body 23.00 |CHG_PCT -0.8 |CHG/ATR nan |B/CHG -0.05 |B/ATR nan |V/LONG 0.9 |V/SHORT 0.6 |V/PREV 1.6 |O 24.5 |H 24.6 |L 24.3 |C 24.5 |V 123 Thousand
2003-02-20|RED|H/Body 0.25 |T/Body 3.25 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.2 |V/SHORT 0.2 |V/PREV 0.3 |O 24.5 |H 24.6 |L 24.4 |C 24.5 |V 31 Thousand
2003-02-21|RED|H/Body 0.00 |T/Body 0.13 |CHG_PCT -2.6 |CHG/ATR nan |B/CHG -1.06 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.2 |V/PREV 0.6 |O 24.5 |H 24.5 |L 23.8 |C 23.9 |V 20 Thousand
2003-02-24|RED|H/Body 2.38 |T/Body 3.13 |CHG_PCT 0.5 |CHG/ATR nan |B/CHG 0.62 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.2 |V/PREV 1.0 |O 24.1 |H 24.3 |L 23.8 |C 24.0 |V 21 Thousand
2003-02-25|RED|H/Body 0.53 |T/Body 2.88 |CHG_PCT -0.0 |CHG/ATR nan |B/CHG -17.00 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.6 |V/PREV 1.5 |O 24.2 |H 24.2 |L 23.5 |C 24.0 |V 30 Thousand
2003-02-26|NIU|H/Body 24.00 |T/Body 7.00 |CHG_PCT 1.2 |CHG/ATR nan |B/CHG 0.10 |B/ATR nan |V/LONG 0.6 |V/SHORT 1.7 |V/PREV 2.5 |O 24.2 |H 25.0 |L 24.0 |C 24.3 |V 77 Thousand
2003-02-27|RED|H/Body 0.00 |T/Body 0.12 |CHG_PCT -1.3 |CHG/ATR nan |B/CHG -1.34 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.3 |V/PREV 0.1 |O 24.4 |H 24.4 |L 23.9 |C 24.0 |V 11 Thousand
2003-02-28|RED|H/Body 0.11 |T/Body 0.44 |CHG_PCT -2.9 |CHG/ATR nan |B/CHG -1.21 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.5 |V/PREV 1.5 |O 24.1 |H 24.2 |L 22.9 |C 23.3 |V 17 Thousand
2003-03-03|RED|H/Body 0.00 |T/Body 81.00 |CHG_PCT 1.8 |CHG/ATR nan |B/CHG 0.02 |B/ATR nan |V/LONG 0.5 |V/SHORT 1.7 |V/PREV 3.2 |O 23.7 |H 23.7 |L 22.9 |C 23.7 |V 54 Thousand
2003-03-04|RED|H/Body 0.03 |T/Body 0.18 |CHG_PCT -2.5 |CHG/ATR nan |B/CHG -1.34 |B/ATR nan |V/LONG 0.9 |V/SHORT 2.6 |V/PREV 1.8 |O 23.9 |H 23.9 |L 22.9 |C 23.1 |V 98 Thousand
2003-03-05|RED|H/Body 0.42 |T/Body 0.40 |CHG_PCT -2.6 |CHG/ATR nan |B/CHG -1.18 |B/ATR nan |V/LONG 0.5 |V/SHORT 1.1 |V/PREV 0.6 |O 23.2 |H 23.5 |L 22.2 |C 22.5 |V 58 Thousand
2003-03-06|NIU|H/Body 1.50 |T/Body 3.06 |CHG_PCT 1.1 |CHG/ATR nan |B/CHG 0.72 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.6 |V/PREV 0.5 |O 22.6 |H 23.0 |L 22.0 |C 22.7 |V 30 Thousand
2003-03-07|NIU|H/Body 3.33 |T/Body 0.93 |CHG_PCT 2.9 |CHG/ATR nan |B/CHG 0.22 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.5 |V/PREV 0.9 |O 23.2 |H 23.9 |L 23.1 |C 23.4 |V 28 Thousand
2003-03-10|RED|H/Body 0.18 |T/Body 0.05 |CHG_PCT -15.0 |CHG/ATR nan |B/CHG -0.83 |B/ATR nan |V/LONG 3.6 |V/SHORT 6.9 |V/PREV 13.2 |O 22.8 |H 23.3 |L 19.7 |C 19.9 |V 372 Thousand
2003-03-11|RED|H/Body 0.23 |T/Body 1.93 |CHG_PCT -0.7 |CHG/ATR nan |B/CHG -7.92 |B/ATR nan |V/LONG 3.5 |V/SHORT 3.4 |V/PREV 1.1 |O 20.8 |H 21.0 |L 17.8 |C 19.8 |V 400 Thousand
2003-03-12|NIU|H/Body 4.06 |T/Body 0.00 |CHG_PCT 0.9 |CHG/ATR nan |B/CHG 1.06 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.2 |V/PREV 0.1 |O 19.7 |H 20.6 |L 19.7 |C 19.9 |V 39 Thousand
2003-03-13|NIU|H/Body 2.13 |T/Body 1.47 |CHG_PCT 1.9 |CHG/ATR nan |B/CHG 0.79 |B/ATR nan |V/LONG 1.1 |V/SHORT 0.8 |V/PREV 3.4 |O 20.0 |H 20.9 |L 19.6 |C 20.3 |V 133 Thousand
2003-03-14|RED|H/Body 20.00 |T/Body 6.67 |CHG_PCT 4.7 |CHG/ATR nan |B/CHG 0.03 |B/ATR nan |V/LONG 1.6 |V/SHORT 1.0 |V/PREV 1.5 |O 21.3 |H 21.9 |L 21.1 |C 21.2 |V 199 Thousand
2003-03-17|RED|H/Body 0.19 |T/Body 0.05 |CHG_PCT -5.7 |CHG/ATR nan |B/CHG -0.94 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.4 |V/PREV 0.4 |O 21.2 |H 21.4 |L 20.0 |C 20.0 |V 86 Thousand
2003-03-18|RED|H/Body 3.30 |T/Body 1.50 |CHG_PCT 1.3 |CHG/ATR nan |B/CHG 0.38 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.5 |V/PREV 0.9 |O 20.4 |H 20.7 |L 20.1 |C 20.3 |V 80 Thousand
2003-03-19|RED|H/Body 0.00 |T/Body 1.18 |CHG_PCT -1.7 |CHG/ATR nan |B/CHG -1.15 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.5 |V/PREV 0.7 |O 20.4 |H 20.4 |L 19.5 |C 20.0 |V 55 Thousand
2003-03-20|RED|H/Body 9.00 |T/Body 4.83 |CHG_PCT -1.4 |CHG/ATR nan |B/CHG -0.22 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.3 |V/PREV 0.7 |O 19.8 |H 20.3 |L 19.4 |C 19.7 |V 37 Thousand
2003-03-21|NIU|H/Body 0.15 |T/Body 0.05 |CHG_PCT 5.7 |CHG/ATR nan |B/CHG 1.03 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.6 |V/PREV 1.5 |O 19.7 |H 21.0 |L 19.6 |C 20.8 |V 57 Thousand
2003-03-24|RED|H/Body 0.25 |T/Body 1.37 |CHG_PCT -2.3 |CHG/ATR nan |B/CHG -1.09 |B/ATR nan |V/LONG 0.5 |V/SHORT 1.0 |V/PREV 1.1 |O 20.9 |H 21.0 |L 19.6 |C 20.4 |V 61 Thousand
2003-03-25|NIU|H/Body 0.84 |T/Body 0.00 |CHG_PCT 2.5 |CHG/ATR nan |B/CHG 1.50 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.6 |V/PREV 1.5 |O 20.1 |H 21.5 |L 20.1 |C 20.9 |V 90 Thousand
2003-03-26|RED|H/Body 0.81 |T/Body 0.00 |CHG_PCT -1.5 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.8 |V/PREV 0.5 |O 20.9 |H 21.1 |L 20.5 |C 20.5 |V 46 Thousand
2003-03-27|NIU|H/Body 0.29 |T/Body 0.10 |CHG_PCT 5.4 |CHG/ATR nan |B/CHG 1.01 |B/ATR nan |V/LONG 1.1 |V/SHORT 2.0 |V/PREV 2.6 |O 20.5 |H 22.0 |L 20.4 |C 21.6 |V 118 Thousand
