2000-03-31|NIU|H/Body 0.75 |T/Body 0.31 |CHG_PCT 12.9 |CHG/ATR nan |B/CHG 0.47 |B/ATR nan |V/LONG 2.0 |V/SHORT 2.6 |V/PREV 2.7 |O 79.9 |H 87.9 |L 78.5 |C 84.5 |V 2 Million
2000-04-03|RED|H/Body 0.05 |T/Body 0.37 |CHG_PCT -7.8 |CHG/ATR nan |B/CHG -0.88 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.6 |V/PREV 0.3 |O 83.7 |H 84.0 |L 75.7 |C 77.9 |V 687 Thousand
2000-04-04|RED|H/Body 0.29 |T/Body 2.77 |CHG_PCT -3.7 |CHG/ATR nan |B/CHG -2.26 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.0 |V/PREV 1.6 |O 81.5 |H 83.4 |L 57.0 |C 75.0 |V 1 Million
2000-04-05|NIU|H/Body 0.36 |T/Body 0.24 |CHG_PCT 22.3 |CHG/ATR nan |B/CHG 0.96 |B/ATR nan |V/LONG 1.3 |V/SHORT 1.2 |V/PREV 1.2 |O 75.8 |H 97.5 |L 71.9 |C 91.7 |V 1 Million
2000-04-06|RED|H/Body 486.00 |T/Body 456.00 |CHG_PCT 4.6 |CHG/ATR nan |B/CHG 0.00 |B/ATR nan |V/LONG 0.8 |V/SHORT 0.7 |V/PREV 0.6 |O 95.9 |H 100.8 |L 91.4 |C 95.9 |V 843 Thousand
2000-04-07|NIU|H/Body 0.70 |T/Body 0.79 |CHG_PCT 6.9 |CHG/ATR nan |B/CHG 0.51 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.6 |V/PREV 0.8 |O 99.2 |H 105.0 |L 96.5 |C 102.6 |V 664 Thousand
2000-04-10|RED|H/Body 0.56 |T/Body 0.18 |CHG_PCT -8.9 |CHG/ATR nan |B/CHG -1.19 |B/ATR nan |V/LONG 0.8 |V/SHORT 0.9 |V/PREV 1.2 |O 104.3 |H 110.4 |L 91.6 |C 93.5 |V 824 Thousand
2000-04-11|NIU|H/Body 7.51 |T/Body 7.45 |CHG_PCT -5.9 |CHG/ATR nan |B/CHG -0.17 |B/ATR nan |V/LONG 0.9 |V/SHORT 1.0 |V/PREV 1.2 |O 87.0 |H 95.0 |L 80.0 |C 87.9 |V 953 Thousand
2000-04-12|RED|H/Body 0.21 |T/Body 0.03 |CHG_PCT -10.4 |CHG/ATR nan |B/CHG -1.01 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.7 |V/PREV 0.7 |O 88.1 |H 90.0 |L 78.5 |C 78.8 |V 653 Thousand
2000-04-13|RED|H/Body 0.70 |T/Body 0.33 |CHG_PCT -4.3 |CHG/ATR nan |B/CHG -1.19 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.8 |V/PREV 1.0 |O 79.4 |H 82.2 |L 74.1 |C 75.4 |V 653 Thousand
2000-04-14|RED|H/Body 2.97 |T/Body 1.80 |CHG_PCT -8.8 |CHG/ATR nan |B/CHG -0.28 |B/ATR nan |V/LONG 0.9 |V/SHORT 1.2 |V/PREV 1.3 |O 70.6 |H 76.1 |L 65.5 |C 68.8 |V 879 Thousand
2000-04-17|NIU|H/Body 0.29 |T/Body 0.00 |CHG_PCT 5.1 |CHG/ATR nan |B/CHG 2.65 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.8 |V/PREV 0.7 |O 63.0 |H 75.0 |L 63.0 |C 72.3 |V 613 Thousand
2000-04-18|NIU|H/Body 0.83 |T/Body 0.42 |CHG_PCT 17.7 |CHG/ATR nan |B/CHG 0.43 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.3 |V/PREV 1.6 |O 79.6 |H 89.8 |L 77.2 |C 85.1 |V 995 Thousand
2000-04-19|RED|H/Body 0.18 |T/Body 0.16 |CHG_PCT -4.8 |CHG/ATR nan |B/CHG -1.66 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.8 |V/PREV 0.6 |O 87.8 |H 89.0 |L 80.0 |C 81.1 |V 580 Thousand
2000-04-20|RED|H/Body 0.60 |T/Body 0.43 |CHG_PCT -0.5 |CHG/ATR nan |B/CHG -6.09 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.4 |V/PREV 0.6 |O 83.2 |H 84.8 |L 79.5 |C 80.6 |V 321 Thousand
2000-04-24|NIU|H/Body 4.37 |T/Body 5.35 |CHG_PCT -5.0 |CHG/ATR nan |B/CHG -0.16 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.6 |V/PREV 1.3 |O 76.0 |H 79.4 |L 72.6 |C 76.6 |V 429 Thousand
2000-04-25|NIU|H/Body 0.51 |T/Body 0.04 |CHG_PCT 10.9 |CHG/ATR nan |B/CHG 0.59 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.9 |V/PREV 1.2 |O 80.1 |H 87.5 |L 79.9 |C 85.0 |V 520 Thousand
2000-04-26|RED|H/Body 0.30 |T/Body 0.02 |CHG_PCT -1.0 |CHG/ATR nan |B/CHG -7.83 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.9 |V/PREV 1.0 |O 90.9 |H 93.0 |L 84.0 |C 84.1 |V 529 Thousand
2000-04-27|NIU|H/Body 0.07 |T/Body 0.04 |CHG_PCT 8.2 |CHG/ATR nan |B/CHG 1.82 |B/ATR nan |V/LONG 0.7 |V/SHORT 1.2 |V/PREV 1.1 |O 78.5 |H 91.9 |L 78.1 |C 91.0 |V 585 Thousand
2000-04-28|RED|H/Body 1.08 |T/Body 0.00 |CHG_PCT -2.1 |CHG/ATR nan |B/CHG -1.77 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.8 |V/PREV 0.6 |O 92.4 |H 96.0 |L 89.1 |C 89.1 |V 373 Thousand
2000-05-01|RED|H/Body 4.00 |T/Body 4.38 |CHG_PCT 3.2 |CHG/ATR nan |B/CHG 0.17 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.5 |V/PREV 0.7 |O 92.5 |H 94.5 |L 89.8 |C 92.0 |V 249 Thousand
2000-05-02|RED|H/Body 1.51 |T/Body 0.72 |CHG_PCT -3.9 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG 0.6 |V/SHORT 1.1 |V/PREV 2.0 |O 92.0 |H 97.4 |L 85.9 |C 88.4 |V 488 Thousand
2000-05-03|RED|H/Body 3.26 |T/Body 7.95 |CHG_PCT -1.6 |CHG/ATR nan |B/CHG -0.61 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.5 |V/PREV 1.4 |O 87.9 |H 90.8 |L 80.0 |C 87.0 |V 686 Thousand
2000-05-04|NIU|H/Body 2.95 |T/Body 0.60 |CHG_PCT 1.2 |CHG/ATR nan |B/CHG 1.18 |B/ATR nan |V/LONG 0.6 |V/SHORT 1.1 |V/PREV 0.7 |O 86.8 |H 91.8 |L 86.1 |C 88.1 |V 502 Thousand
2000-05-05|NIU|H/Body 0.48 |T/Body 0.27 |CHG_PCT 4.6 |CHG/ATR nan |B/CHG 1.09 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.8 |V/PREV 0.7 |O 87.7 |H 94.2 |L 86.5 |C 92.1 |V 355 Thousand
2000-05-08|RED|H/Body 3.25 |T/Body 0.12 |CHG_PCT -3.7 |CHG/ATR nan |B/CHG -0.30 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.8 |V/PREV 1.1 |O 89.8 |H 93.0 |L 88.6 |C 88.8 |V 386 Thousand
