2000-03-29|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-30|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-03-31|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-04-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-04-04|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-04-05|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-04-06|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.9 |H 4.9 |L 4.9 |C 4.9 |V 0
2000-04-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -2.7 |CHG/ATR nan |B/CHG -0.08 |B/ATR nan |V/LONG 27.6 |V/SHORT inf |V/PREV inf |O 4.8 |H 4.8 |L 4.8 |C 4.8 |V 700
2000-04-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.8 |H 4.8 |L 4.8 |C 4.8 |V 0
2000-04-11|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.8 |H 4.8 |L 4.8 |C 4.8 |V 0
2000-04-12|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.8 |H 4.8 |L 4.8 |C 4.8 |V 0
2000-04-13|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.8 |H 4.8 |L 4.8 |C 4.8 |V 0
2000-04-14|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.8 |H 4.8 |L 4.8 |C 4.8 |V 0
2000-04-17|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 5.3 |CHG/ATR nan |B/CHG 0.04 |B/ATR nan |V/LONG 16.5 |V/SHORT inf |V/PREV inf |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 700
2000-04-18|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-04-19|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-04-20|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-04-24|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-04-25|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-04-26|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-04-27|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-04-28|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 5.0 |H 5.0 |L 5.0 |C 5.0 |V 0
2000-05-01|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -12.6 |CHG/ATR nan |B/CHG -0.02 |B/ATR nan |V/LONG 4.0 |V/SHORT inf |V/PREV inf |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 200
2000-05-02|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-04|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-05|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
2000-05-08|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.4 |H 4.4 |L 4.4 |C 4.4 |V 0
