2000-03-21|NIU|H/Body 0.28 |T/Body 0.36 |CHG_PCT 1.2 |CHG/ATR nan |B/CHG 2.23 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.8 |V/PREV 1.2 |O 24.8 |H 25.6 |L 24.5 |C 25.4 |V 31 Thousand
2000-03-22|NIU|H/Body 0.56 |T/Body 0.00 |CHG_PCT -0.2 |CHG/ATR nan |B/CHG -5.33 |B/ATR nan |V/LONG 0.5 |V/SHORT 1.4 |V/PREV 1.6 |O 25.1 |H 25.6 |L 25.1 |C 25.4 |V 51 Thousand
2000-03-23|RED|H/Body 0.00 |T/Body 0.43 |CHG_PCT -5.7 |CHG/ATR nan |B/CHG -0.91 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.7 |V/PREV 0.5 |O 25.2 |H 25.2 |L 23.4 |C 23.9 |V 26 Thousand
2000-03-24|NIU|H/Body 0.00 |T/Body 0.03 |CHG_PCT 6.8 |CHG/ATR nan |B/CHG 0.60 |B/ATR nan |V/LONG 0.5 |V/SHORT 1.2 |V/PREV 1.7 |O 24.6 |H 25.6 |L 24.6 |C 25.6 |V 43 Thousand
2000-03-27|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 1.3 |CHG/ATR nan |B/CHG 3.72 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.2 |V/PREV 0.2 |O 24.7 |H 25.9 |L 24.7 |C 25.9 |V 7 Thousand
2000-03-28|NIU|H/Body 0.00 |T/Body 7.33 |CHG_PCT -1.2 |CHG/ATR nan |B/CHG -0.19 |B/ATR nan |V/LONG 0.6 |V/SHORT 1.7 |V/PREV 7.3 |O 25.5 |H 25.6 |L 25.1 |C 25.6 |V 53 Thousand
2000-03-29|RED|H/Body 0.09 |T/Body 0.62 |CHG_PCT -3.9 |CHG/ATR nan |B/CHG -0.69 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.7 |V/PREV 0.5 |O 25.2 |H 25.3 |L 24.1 |C 24.6 |V 24 Thousand
2000-03-30|NIU|H/Body 3.67 |T/Body 4.17 |CHG_PCT -0.2 |CHG/ATR nan |B/CHG -2.00 |B/ATR nan |V/LONG 0.4 |V/SHORT 1.2 |V/PREV 1.5 |O 24.4 |H 24.9 |L 23.9 |C 24.5 |V 36 Thousand
2000-03-31|NIU|H/Body 0.20 |T/Body 0.30 |CHG_PCT 6.1 |CHG/ATR nan |B/CHG 0.83 |B/ATR nan |V/LONG 0.4 |V/SHORT 1.0 |V/PREV 0.9 |O 24.8 |H 26.2 |L 24.4 |C 26.0 |V 31 Thousand
2000-04-03|RED|H/Body 0.00 |T/Body 0.42 |CHG_PCT -2.9 |CHG/ATR nan |B/CHG -1.17 |B/ATR nan |V/LONG 0.5 |V/SHORT 1.3 |V/PREV 1.2 |O 26.1 |H 26.1 |L 24.9 |C 25.2 |V 38 Thousand
