2009-10-01|RED|H/Body 0.00 |T/Body 0.12 |CHG_PCT -7.4 |CHG/ATR nan |B/CHG -0.90 |B/ATR nan |V/LONG nan |V/SHORT 2.1 |V/PREV 1.7 |O 8.9 |H 8.9 |L 8.3 |C 8.3 |V 172 Thousand
2009-10-02|NIU|H/Body 0.63 |T/Body 1.71 |CHG_PCT 4.2 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.3 |O 8.3 |H 8.9 |L 7.8 |C 8.7 |V 46 Thousand
2009-10-05|RED|H/Body 0.00 |T/Body 0.46 |CHG_PCT -2.0 |CHG/ATR nan |B/CHG -1.65 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.4 |O 8.8 |H 8.8 |L 8.4 |C 8.5 |V 18 Thousand
2009-10-06|RED|H/Body 6.00 |T/Body 23.00 |CHG_PCT 2.5 |CHG/ATR nan |B/CHG 0.05 |B/ATR nan |V/LONG nan |V/SHORT 1.6 |V/PREV 7.2 |O 8.7 |H 8.8 |L 8.5 |C 8.7 |V 131 Thousand
2009-10-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -2.7 |CHG/ATR nan |B/CHG -1.25 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.2 |O 8.8 |H 8.8 |L 8.5 |C 8.5 |V 28 Thousand
2009-10-08|RED|H/Body 0.92 |T/Body 1.69 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 2.60 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 2.4 |O 8.7 |H 8.8 |L 8.3 |C 8.6 |V 68 Thousand
2009-10-09|RED|H/Body 0.00 |T/Body 1.27 |CHG_PCT 2.3 |CHG/ATR nan |B/CHG 1.65 |B/ATR nan |V/LONG 1.1 |V/SHORT 3.8 |V/PREV 3.3 |O 9.1 |H 9.1 |L 8.3 |C 8.8 |V 223 Thousand
2009-10-12|RED|H/Body 1.00 |T/Body 5.75 |CHG_PCT 1.1 |CHG/ATR nan |B/CHG 0.40 |B/ATR nan |V/LONG 0.6 |V/SHORT 1.3 |V/PREV 0.5 |O 8.9 |H 8.9 |L 8.6 |C 8.8 |V 118 Thousand
2009-10-13|RED|H/Body 0.00 |T/Body 0.36 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -2.80 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.8 |V/PREV 0.8 |O 8.9 |H 8.9 |L 8.8 |C 8.8 |V 96 Thousand
2009-10-14|RED|H/Body 0.18 |T/Body 0.00 |CHG_PCT -0.2 |CHG/ATR nan |B/CHG -8.50 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.4 |V/PREV 0.5 |O 8.9 |H 9.0 |L 8.8 |C 8.8 |V 48 Thousand
2009-10-15|RED|H/Body 9.00 |T/Body 2.50 |CHG_PCT 0.2 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.5 |V/PREV 1.3 |O 8.8 |H 9.0 |L 8.8 |C 8.8 |V 61 Thousand
2009-10-16|RED|H/Body 0.27 |T/Body 0.00 |CHG_PCT -4.5 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG 1.1 |V/SHORT 1.9 |V/PREV 3.4 |O 8.8 |H 8.9 |L 8.4 |C 8.4 |V 206 Thousand
2009-10-19|NIU|H/Body 8.00 |T/Body 0.50 |CHG_PCT -0.2 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG 2.0 |V/SHORT 3.5 |V/PREV 1.8 |O 8.4 |H 8.5 |L 8.3 |C 8.4 |V 366 Thousand
2009-10-20|RED|H/Body 11.00 |T/Body 6.00 |CHG_PCT -0.8 |CHG/ATR nan |B/CHG -0.14 |B/ATR nan |V/LONG 0.9 |V/SHORT 1.1 |V/PREV 0.5 |O 8.3 |H 8.4 |L 8.2 |C 8.3 |V 176 Thousand
2009-10-21|NIU|H/Body 2.50 |T/Body 0.00 |CHG_PCT 1.1 |CHG/ATR nan |B/CHG 0.67 |B/ATR nan |V/LONG 3.7 |V/SHORT 4.1 |V/PREV 4.0 |O 8.3 |H 8.6 |L 8.3 |C 8.4 |V 704 Thousand
2009-10-22|NIU|H/Body 5.00 |T/Body 23.00 |CHG_PCT 1.4 |CHG/ATR nan |B/CHG 0.08 |B/ATR nan |V/LONG 4.3 |V/SHORT 3.0 |V/PREV 1.3 |O 8.5 |H 8.6 |L 8.3 |C 8.5 |V 898 Thousand
2009-10-23|RED|H/Body 0.00 |T/Body 0.24 |CHG_PCT -1.4 |CHG/ATR nan |B/CHG -1.42 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.1 |V/PREV 0.1 |O 8.6 |H 8.6 |L 8.4 |C 8.4 |V 62 Thousand
2009-10-26|RED|H/Body 0.00 |T/Body 0.10 |CHG_PCT -1.5 |CHG/ATR nan |B/CHG -1.62 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.2 |V/PREV 1.2 |O 8.5 |H 8.5 |L 8.2 |C 8.3 |V 73 Thousand
2009-10-27|RED|H/Body 0.00 |T/Body 0.11 |CHG_PCT -1.2 |CHG/ATR nan |B/CHG -1.90 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.3 |V/PREV 1.3 |O 8.4 |H 8.4 |L 8.2 |C 8.2 |V 96 Thousand
2009-10-28|RED|H/Body 0.13 |T/Body 0.26 |CHG_PCT -5.6 |CHG/ATR nan |B/CHG -0.85 |B/ATR nan |V/LONG 0.9 |V/SHORT 0.5 |V/PREV 2.1 |O 8.1 |H 8.2 |L 7.6 |C 7.7 |V 200 Thousand
2009-10-29|NIU|H/Body 0.11 |T/Body 0.57 |CHG_PCT 5.3 |CHG/ATR nan |B/CHG 0.68 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.3 |V/PREV 0.4 |O 7.8 |H 8.2 |L 7.7 |C 8.1 |V 89 Thousand
2009-10-30|NIU|H/Body 5.67 |T/Body 0.00 |CHG_PCT -2.5 |CHG/ATR nan |B/CHG -0.15 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.6 |V/PREV 1.9 |O 7.9 |H 8.1 |L 7.9 |C 7.9 |V 166 Thousand
2009-11-02|RED|H/Body 1.37 |T/Body 0.26 |CHG_PCT -2.1 |CHG/ATR nan |B/CHG -1.12 |B/ATR nan |V/LONG 0.6 |V/SHORT 1.0 |V/PREV 0.7 |O 7.9 |H 8.2 |L 7.7 |C 7.8 |V 121 Thousand
2009-11-03|RED|H/Body 8.00 |T/Body 0.00 |CHG_PCT -1.9 |CHG/ATR nan |B/CHG -0.33 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.4 |V/PREV 0.4 |O 7.7 |H 8.0 |L 7.6 |C 7.6 |V 53 Thousand
2009-11-04|NIU|H/Body 1.54 |T/Body 0.00 |CHG_PCT 2.4 |CHG/ATR nan |B/CHG 0.72 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.5 |V/PREV 1.2 |O 7.7 |H 8.0 |L 7.7 |C 7.8 |V 60 Thousand
2009-11-05|NIU|H/Body 0.36 |T/Body 0.00 |CHG_PCT 8.5 |CHG/ATR nan |B/CHG 0.76 |B/ATR nan |V/LONG 1.6 |V/SHORT 3.1 |V/PREV 5.0 |O 7.9 |H 8.6 |L 7.9 |C 8.4 |V 304 Thousand
2009-11-06|NIU|H/Body 0.12 |T/Body 0.17 |CHG_PCT 0.8 |CHG/ATR nan |B/CHG 3.43 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.2 |V/PREV 0.1 |O 8.3 |H 8.5 |L 8.2 |C 8.5 |V 30 Thousand
2009-11-09|NIU|H/Body 0.00 |T/Body 1.36 |CHG_PCT 2.7 |CHG/ATR nan |B/CHG 0.48 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.5 |V/PREV 1.7 |O 8.6 |H 8.7 |L 8.5 |C 8.7 |V 52 Thousand
2009-11-10|NIU|H/Body 0.00 |T/Body 1.08 |CHG_PCT 0.1 |CHG/ATR nan |B/CHG 12.00 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.9 |V/PREV 1.8 |O 8.6 |H 8.8 |L 8.5 |C 8.8 |V 92 Thousand
2009-11-11|NIU|H/Body 1.00 |T/Body 3.12 |CHG_PCT 1.0 |CHG/ATR nan |B/CHG 0.89 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.9 |V/PREV 1.0 |O 8.8 |H 8.9 |L 8.5 |C 8.8 |V 93 Thousand
2009-11-12|NIU|H/Body 0.25 |T/Body 1.19 |CHG_PCT 2.3 |CHG/ATR nan |B/CHG 0.80 |B/ATR nan |V/LONG 0.9 |V/SHORT 1.3 |V/PREV 1.7 |O 8.9 |H 9.1 |L 8.7 |C 9.0 |V 154 Thousand
2009-11-13|RED|H/Body 1.50 |T/Body 1.22 |CHG_PCT -1.2 |CHG/ATR nan |B/CHG -1.64 |B/ATR nan |V/LONG 0.6 |V/SHORT 1.3 |V/PREV 0.7 |O 9.1 |H 9.4 |L 8.7 |C 8.9 |V 110 Thousand
2009-11-16|RED|H/Body 1.59 |T/Body 1.36 |CHG_PCT -1.2 |CHG/ATR nan |B/CHG -2.27 |B/ATR nan |V/LONG 1.2 |V/SHORT 2.2 |V/PREV 2.0 |O 9.1 |H 9.5 |L 8.5 |C 8.8 |V 216 Thousand
2009-11-17|RED|H/Body 0.00 |T/Body 0.39 |CHG_PCT -2.5 |CHG/ATR nan |B/CHG -1.27 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.7 |V/PREV 0.4 |O 8.9 |H 8.9 |L 8.5 |C 8.6 |V 87 Thousand
2009-11-18|NIU|H/Body 0.46 |T/Body 0.69 |CHG_PCT 1.2 |CHG/ATR nan |B/CHG 1.30 |B/ATR nan |V/LONG 1.1 |V/SHORT 1.5 |V/PREV 2.3 |O 8.6 |H 8.8 |L 8.5 |C 8.7 |V 199 Thousand
2009-11-19|NIU|H/Body 5.50 |T/Body 0.00 |CHG_PCT -0.8 |CHG/ATR nan |B/CHG -0.57 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.2 |V/PREV 0.2 |O 8.6 |H 8.8 |L 8.6 |C 8.6 |V 31 Thousand
2009-11-20|RED|H/Body 11.67 |T/Body 0.00 |CHG_PCT -0.3 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.4 |V/PREV 1.6 |O 8.6 |H 9.0 |L 8.6 |C 8.6 |V 49 Thousand
