2015-02-13|RED|H/Body 26.00 |T/Body 0.00 |CHG_PCT 2.2 |CHG/ATR nan |B/CHG 0.07 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.7 |V/PREV 0.9 |O 6.5 |H 6.8 |L 6.5 |C 6.5 |V 6 Million
2015-02-17|NIU|H/Body 0.21 |T/Body 0.75 |CHG_PCT 3.7 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.9 |V/PREV 1.0 |O 6.5 |H 6.8 |L 6.3 |C 6.7 |V 6 Million
2015-02-18|NIU|H/Body 3.04 |T/Body 0.17 |CHG_PCT 0.4 |CHG/ATR nan |B/CHG 4.00 |B/ATR nan |V/LONG 0.8 |V/SHORT 1.3 |V/PREV 1.3 |O 6.7 |H 7.1 |L 6.6 |C 6.8 |V 7 Million
2015-02-19|NIU|H/Body 1.86 |T/Body 3.00 |CHG_PCT -1.0 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.9 |V/PREV 0.8 |O 6.6 |H 6.8 |L 6.4 |C 6.7 |V 6 Million
2015-02-20|NIU|H/Body 10.50 |T/Body 2.75 |CHG_PCT 5.4 |CHG/ATR nan |B/CHG 0.11 |B/ATR nan |V/LONG 2.5 |V/SHORT 3.9 |V/PREV 4.2 |O 7.0 |H 7.5 |L 6.9 |C 7.1 |V 24 Million
2015-02-23|RED|H/Body 0.37 |T/Body 0.70 |CHG_PCT -5.1 |CHG/ATR nan |B/CHG -0.75 |B/ATR nan |V/LONG 0.8 |V/SHORT 0.8 |V/PREV 0.3 |O 7.0 |H 7.1 |L 6.5 |C 6.7 |V 8 Million
2015-02-24|NIU|H/Body 0.67 |T/Body 1.78 |CHG_PCT 1.5 |CHG/ATR nan |B/CHG 0.90 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.4 |V/PREV 0.5 |O 6.7 |H 6.9 |L 6.5 |C 6.8 |V 4 Million
2015-02-25|NIU|H/Body 0.15 |T/Body 0.13 |CHG_PCT 5.0 |CHG/ATR nan |B/CHG 1.15 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.6 |V/PREV 1.5 |O 6.8 |H 7.2 |L 6.7 |C 7.1 |V 6 Million
2015-02-26|RED|H/Body 1.00 |T/Body 6.25 |CHG_PCT -1.8 |CHG/ATR nan |B/CHG -0.31 |B/ATR nan |V/LONG 0.9 |V/SHORT 0.9 |V/PREV 1.3 |O 7.0 |H 7.1 |L 6.8 |C 7.0 |V 8 Million
2015-02-27|NIU|H/Body 3.58 |T/Body 1.33 |CHG_PCT 2.1 |CHG/ATR nan |B/CHG 0.40 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.7 |V/PREV 0.8 |O 7.1 |H 7.4 |L 7.0 |C 7.2 |V 7 Million
2015-03-02|NIU|H/Body 0.56 |T/Body 0.53 |CHG_PCT 2.8 |CHG/ATR nan |B/CHG 1.25 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.9 |V/PREV 0.8 |O 7.1 |H 7.5 |L 7.0 |C 7.4 |V 6 Million
2015-03-03|NIU|H/Body 0.44 |T/Body 0.83 |CHG_PCT 2.4 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 0.5 |V/SHORT 0.7 |V/PREV 0.8 |O 7.4 |H 7.6 |L 7.2 |C 7.5 |V 5 Million
2015-03-04|RED|H/Body 2.33 |T/Body 2.42 |CHG_PCT -0.5 |CHG/ATR nan |B/CHG -1.50 |B/ATR nan |V/LONG 1.2 |V/SHORT 1.7 |V/PREV 2.4 |O 7.6 |H 7.7 |L 7.4 |C 7.5 |V 11 Million
2015-03-05|RED|H/Body 0.71 |T/Body 0.50 |CHG_PCT -2.4 |CHG/ATR nan |B/CHG -0.78 |B/ATR nan |V/LONG 0.9 |V/SHORT 1.1 |V/PREV 0.7 |O 7.5 |H 7.6 |L 7.2 |C 7.3 |V 8 Million
2015-03-06|RED|H/Body 1.13 |T/Body 0.13 |CHG_PCT -3.1 |CHG/ATR nan |B/CHG -0.65 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.9 |V/PREV 0.8 |O 7.2 |H 7.4 |L 7.1 |C 7.1 |V 6 Million
2015-03-09|NIU|H/Body 0.82 |T/Body 0.91 |CHG_PCT 1.0 |CHG/ATR nan |B/CHG 1.57 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.9 |V/PREV 1.0 |O 7.0 |H 7.2 |L 7.0 |C 7.2 |V 6 Million
2015-03-10|RED|H/Body 0.47 |T/Body 0.12 |CHG_PCT -4.7 |CHG/ATR nan |B/CHG -0.50 |B/ATR nan |V/LONG 0.6 |V/SHORT 0.8 |V/PREV 0.9 |O 7.0 |H 7.1 |L 6.8 |C 6.8 |V 6 Million
2015-03-11|NIU|H/Body 0.50 |T/Body 0.29 |CHG_PCT 4.1 |CHG/ATR nan |B/CHG 1.21 |B/ATR nan |V/LONG 1.1 |V/SHORT 1.3 |V/PREV 1.7 |O 6.8 |H 7.3 |L 6.7 |C 7.1 |V 10 Million
2015-03-12|NIU|H/Body 7.00 |T/Body 23.00 |CHG_PCT 0.8 |CHG/ATR nan |B/CHG 0.17 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.9 |V/PREV 0.7 |O 7.2 |H 7.2 |L 6.9 |C 7.2 |V 6 Million
2015-03-13|RED|H/Body 0.00 |T/Body 0.12 |CHG_PCT -5.4 |CHG/ATR nan |B/CHG -0.95 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.2 |V/PREV 1.3 |O 7.1 |H 7.1 |L 6.7 |C 6.8 |V 8 Million
2015-03-16|RED|H/Body 9.00 |T/Body 39.00 |CHG_PCT -1.0 |CHG/ATR nan |B/CHG -0.14 |B/ATR nan |V/LONG 1.1 |V/SHORT 1.3 |V/PREV 1.2 |O 6.7 |H 6.8 |L 6.3 |C 6.7 |V 10 Million
2015-03-17|RED|H/Body 2.11 |T/Body 1.33 |CHG_PCT -3.0 |CHG/ATR nan |B/CHG -0.45 |B/ATR nan |V/LONG 1.0 |V/SHORT 1.1 |V/PREV 0.9 |O 6.6 |H 6.8 |L 6.4 |C 6.5 |V 9 Million
2015-03-18|NIU|H/Body 0.08 |T/Body 0.08 |CHG_PCT 8.9 |CHG/ATR nan |B/CHG 1.12 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.7 |V/PREV 0.7 |O 6.4 |H 7.1 |L 6.4 |C 7.1 |V 6 Million
2015-03-19|NIU|H/Body 0.83 |T/Body 5.67 |CHG_PCT -1.1 |CHG/ATR nan |B/CHG -0.75 |B/ATR nan |V/LONG 0.8 |V/SHORT 0.9 |V/PREV 1.2 |O 6.9 |H 7.0 |L 6.6 |C 7.0 |V 7 Million
2015-03-20|NIU|H/Body 0.04 |T/Body 0.24 |CHG_PCT 5.6 |CHG/ATR nan |B/CHG 0.64 |B/ATR nan |V/LONG 1.4 |V/SHORT 1.5 |V/PREV 1.7 |O 7.1 |H 7.4 |L 7.1 |C 7.4 |V 12 Million
2015-03-23|RED|H/Body 0.57 |T/Body 0.61 |CHG_PCT -3.8 |CHG/ATR nan |B/CHG -0.82 |B/ATR nan |V/LONG 0.7 |V/SHORT 0.7 |V/PREV 0.5 |O 7.3 |H 7.5 |L 7.0 |C 7.1 |V 6 Million
