2002-12-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-04|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-05|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -12.5 |CHG/ATR nan |B/CHG -0.02 |B/ATR nan |V/LONG 0.7 |V/SHORT 1.0 |V/PREV inf |O 3.5 |H 3.5 |L 3.5 |C 3.5 |V 100
2002-12-06|RED|H/Body 0.00 |T/Body 50.00 |CHG_PCT 14.3 |CHG/ATR nan |B/CHG 0.02 |B/ATR nan |V/LONG 135.4 |V/SHORT 955.0 |V/PREV 191.0 |O 4.0 |H 4.0 |L 3.5 |C 4.0 |V 19 Thousand
2002-12-09|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV 0.0 |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-11|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-12|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-13|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT 0.0 |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-16|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-17|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
2002-12-18|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.0 |V/SHORT nan |V/PREV nan |O 4.0 |H 4.0 |L 4.0 |C 4.0 |V 0
